X,Y,id,zone,utm_zone,easting,northing,mgrs,dstrcts,dw,db,ds,drought,p_pr_sp,p_cnfrs,grwng_s,prdsp_w,rl_prdsp_w,prdsp_b,rl_prdsp_b,prdsp_s,rl_prdsp_s,prdsp__,prdsp_p,Fläch,MAPKEY,Wuchsge1,Wuchsnam,SRTMkomple
4456593.44898023,2699847.47951657,19,32,32,710910,5253120,32TQT,Schwaz,396.6469100000,648.2246900000,155.9679000000,41.8588600000,0.4222200000,0.7333300000,324.5111100000,1191.7285500000,1.2770800000,881.7042600000,1.3384000000,145.2829900000,0.8190200000,2073.4328100000,0.6389400000,1846710952.0000000000,25F3,2.1,Nrdliche Zwischenalpen - Westteil,606.0000000000
4694838.25381415,2649926.39222275,20,33,33,492480,5188680,33TVM,Wolfsberg,638.7931000000,237.6819900000,336.9731800000,29.1575600000,0.5517200000,0.8448300000,344.1034500000,1325.1225500000,1.4200200000,615.6913500000,0.9346000000,193.4427700000,1.0905200000,1940.8139000000,0.5640200000,974960252.0000000000,DC,3.2,stliche Zwischenalpen - Sdteil,800.0000000000
4632533.16429863,2623624.24340773,21,33,33,428670,5166600,33TVM,Klagenfurt,162.4031000000,609.7286800000,169.3410900000,9.6480100000,0.1860500000,0.5581400000,357.8604700000,153.0218800000,0.1639800000,133.5406000000,0.2027100000,176.5378300000,0.9952200000,286.5624800000,0.0800800000,887124812.8999999762,25F0,6.2,Klagenfurter Becken,727.0000000000
4630228.75242898,2781924.33808397,22,33,33,436680,5324730,33UVP,Kirchdorf an der Krems,1407.3504300000,1361.7094000000,103.9316200000,36.7130100000,0.2000000000,0.4923100000,363.5846200000,608.2953000000,0.6518600000,872.3689800000,1.3242300000,236.6932300000,1.3343400000,1480.6642800000,0.4072400000,1207869795.0000000000,2617,7.2,Nrdl. Alpenvorland - Ostteil,383.0000000000
4684942.51303451,2798010.47862064,23,33,33,492300,5337090,33UVP,Amstetten,778.6231900000,658.2850200000,296.3768100000,25.2471500000,0.2826100000,0.5652200000,304.7826100000,1271.0974900000,1.3621300000,777.2717200000,1.1798800000,227.7370200000,1.2838500000,2048.3692100000,0.6720800000,1316483714.0000000000,414,9.1,Mhlviertel,470.0000000000
4575093.74102931,2813309.11140832,24,33,33,383760,5359740,33UUP,Schrding,380.5555600000,1029.2698400000,181.7460300000,23.7708300000,0.3571400000,0.6428600000,356.8571400000,1089.6987600000,1.1677400000,1230.3410600000,1.8676200000,415.9977100000,2.3451500000,2320.0398200000,0.6501300000,625651824.5000000000,9F,7.1,Nrdl. Alpenvorland - Westteil,336.0000000000
4623678.77792827,2776311.77437319,25,33,33,429780,5319570,33UVP,Kirchdorf an der Krems,1407.3504300000,1361.7094000000,103.9316200000,36.7130100000,0.2000000000,0.4923100000,363.5846200000,608.2953000000,0.6518600000,872.3689800000,1.3242300000,236.6932300000,1.3343400000,1480.6642800000,0.4072400000,1207869795.0000000000,9F,7.1,Nrdl. Alpenvorland - Westteil,463.0000000000
4780676.14798296,2823485.94779895,26,33,33,589470,5355990,33UWP,Korneuburg,198.6111100000,73.6631900000,17.7083300000,13.8094000000,0.0000000000,0.0312500000,187.3125000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1273510721.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,174.0000000000
4651863.19233657,2601654.21846364,27,33,33,446520,5143380,33TVM,Klagenfurt,162.4031000000,609.7286800000,169.3410900000,9.6480100000,0.1860500000,0.5581400000,357.8604700000,153.0218800000,0.1639800000,133.5406000000,0.2027100000,176.5378300000,0.9952200000,286.5624800000,0.0800800000,887124812.8999999762,25F9,6.1,Sdliche Randgebirge,1587.0000000000
4676139.98648991,2804662.32567516,28,33,33,483960,5344320,33UVP,Perg,800.2645500000,595.1322800000,213.4920600000,21.6487800000,0.3333300000,0.6190500000,324.4761900000,1258.6401800000,1.3487800000,808.2859400000,1.2269600000,269.1095200000,1.5170800000,2066.9261100000,0.6370000000,616195212.0000000000,414,9.1,Mhlviertel,305.0000000000
